id,code,team,web_name,element_code,start_cost,end_cost,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index
1,69140,1,Mustafi,69140,55,54,80,2611,2,0,6,40,0,0,0,9,0,0,5,475,718.6,106.0,252.0,107.8
2,98745,1,Bellerín,98745,55,53,60,1532,0,5,4,21,1,0,0,3,0,0,5,304,261.6,197.8,280.0,73.7
3,111457,1,Kolasinac,111457,50,49,81,1886,0,7,5,29,1,0,0,5,0,0,10,382,323.2,445.9,242.0,101.0
4,154043,1,Maitland-Niles,154043,45,44,34,983,1,1,2,20,0,0,0,1,1,0,3,152,224.2,98.9,126.0,44.8
5,39476,1,Sokratis,39476,55,51,64,2198,1,2,5,33,0,0,0,12,0,0,4,402,513.8,67.9,120.0,70.4
6,38411,1,Monreal,38411,55,54,77,1860,1,4,5,24,0,0,0,5,0,0,7,392,413.2,196.6,224.0,83.4
7,51507,1,Koscielny,51507,55,54,62,1329,3,0,3,23,0,0,0,1,0,0,8,319,456.4,29.5,105.0,59.1
8,233963,1,Mavropanos,233963,50,47,3,147,0,0,0,1,0,0,0,1,0,0,0,28,27.0,14.1,10.0,5.2
9,80254,1,Jenkinson,80254,45,45,4,165,0,0,0,3,0,0,0,0,0,0,0,16,26.8,16.9,8.0,5.2
10,156074,1,Holding,156074,45,43,24,806,0,0,1,10,0,0,0,1,0,0,5,148,187.8,28.7,14.0,23.2
11,54694,1,Aubameyang,54694,110,108,205,2722,22,7,7,42,0,0,1,0,0,0,32,756,984.4,484.6,1429.0,289.6
12,59966,1,Lacazette,59966,95,94,166,2497,13,12,6,31,0,0,0,2,0,0,20,560,808.0,482.4,1319.0,260.6
13,205533,1,Nketiah,205533,50,50,10,63,1,0,0,3,0,0,0,0,0,0,1,36,40.8,14.7,59.0,11.4
14,80201,1,Leno,80201,50,49,106,2835,0,0,6,42,0,0,0,0,0,105,5,568,807.2,0.0,0.0,80.5
15,37605,1,Özil,37605,85,79,89,1732,5,3,5,24,0,0,0,2,0,0,9,363,429.6,714.2,254.0,140.0
16,57249,1,Mkhitaryan,57249,70,66,98,1637,6,4,3,26,0,0,0,1,0,0,12,354,446.4,454.9,600.0,150.2
17,153133,1,Iwobi,153133,55,54,99,1961,3,8,4,32,0,0,0,0,0,0,3,382,469.0,596.7,646.0,171.1
18,84450,1,Xhaka,84450,55,52,90,2498,4,3,7,37,0,0,0,10,0,0,8,452,634.6,674.0,215.0,152.6
19,198849,1,Torreira,198849,50,47,78,2377,2,4,5,38,0,0,0,7,1,0,6,409,440.8,301.0,203.0,94.5
20,153256,1,Elneny,153256,45,42,10,377,0,0,0,5,0,0,0,0,0,0,0,59,86.6,76.7,63.0,22.7
21,242166,1,Guendouzi,242166,45,44,47,2140,0,0,3,32,0,0,0,9,0,0,0,321,323.2,312.4,130.0,76.6
427,98980,1,Martínez,98980,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
467,101184,1,Chambers,101184,45,42,60,2586,2,0,5,52,0,0,0,9,0,0,0,431,609.0,231.9,401.0,124.5
489,200641,1,Nelson,200641,45,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
490,200089,1,Willock,200089,45,45,4,63,0,0,1,1,0,0,0,0,0,0,0,4,1.0,2.5,23.0,2.7
25,123354,2,Hause,123354,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
94,21205,2,Heaton,21205,50,48,58,1710,0,0,4,27,0,0,0,3,0,63,4,323,442.8,20.1,4.0,46.6
309,169359,2,Targett,169359,45,42,36,1185,1,3,0,25,0,0,0,2,0,0,3,229,314.2,366.8,181.0,86.2
445,149484,2,Mings,149484,45,42,5,141,0,0,0,4,0,0,0,0,0,0,0,41,49.0,16.3,2.0,6.8
58,56917,3,Steve Cook,56917,45,43,85,2786,1,1,9,56,1,0,0,3,0,0,6,549,731.0,143.3,292.0,116.5
59,126184,3,Aké,126184,50,51,120,3411,4,1,10,70,0,0,0,3,0,0,8,716,1002.0,125.9,440.0,156.8
60,41320,3,Daniels,41320,45,41,44,1583,1,0,4,34,0,0,0,4,0,0,1,278,289.8,215.4,156.0,66.2
61,223911,3,Mepham,223911,45,45,27,848,0,1,2,17,0,0,0,1,0,0,0,158,177.2,24.1,22.0,22.5
62,15149,3,Francis,15149,45,43,40,1227,0,2,4,24,0,0,0,1,0,0,0,244,332.4,173.3,39.0,54.4
63,54469,3,Adam Smith,54469,45,43,70,2067,1,1,8,33,0,0,0,5,1,0,1,383,374.0,199.8,110.0,68.5
65,171129,3,Rico,171129,45,41,8,606,0,0,0,19,0,0,0,1,0,0,0,89,107.4,171.6,36.0,31.4
66,222434,3,Simpson,222434,40,39,10,401,0,0,1,9,1,0,0,0,0,0,0,73,85.4,2.0,21.0,11.0
67,75115,3,Wilson,75115,60,69,168,2528,14,12,9,47,0,0,1,3,0,0,22,525,737.8,388.4,1137.0,225.0
68,78007,3,King,78007,65,64,141,2963,12,3,10,57,0,0,1,3,0,0,20,457,655.4,535.7,1058.0,223.8
69,154566,3,Solanke,154566,50,47,15,340,0,1,0,5,0,0,0,0,0,0,0,45,79.0,96.0,154.0,33.0
71,217331,3,Surridge,217331,45,45,2,11,0,0,0,0,0,0,0,0,0,0,0,3,5.0,11.8,23.0,4.0
72,40349,3,Begovic,40349,45,43,63,2160,0,0,5,47,0,0,0,0,0,59,4,363,440.6,0.0,0.0,44.2
73,18726,3,Boruc,18726,40,41,46,1080,0,0,4,18,0,0,0,2,0,39,4,218,302.0,0.0,0.0,30.3
74,229600,3,Travers,229600,40,40,9,180,0,0,1,5,0,0,0,0,0,9,1,46,68.2,0.0,0.0,6.8
75,90105,3,Fraser,90105,55,64,181,3165,7,14,9,64,0,0,0,2,0,0,23,751,930.6,1382.4,696.0,301.2
76,111317,3,Brooks,111317,50,50,123,2263,7,6,9,41,0,0,0,3,0,0,7,414,598.0,466.7,609.0,167.5
77,56872,3,Stanislas,56872,60,60,56,1021,2,3,2,24,0,0,0,1,0,0,3,205,225.2,254.5,340.0,82.0
78,103912,3,Ibe,103912,55,49,33,789,1,1,1,23,0,0,0,1,0,0,0,105,131.2,174.8,155.0,46.0
79,155408,3,Lewis Cook,155408,50,46,22,719,0,0,3,10,0,0,0,2,0,0,0,91,76.0,50.4,36.0,16.5
80,15237,3,Surman,15237,50,46,36,1438,0,0,4,37,0,0,0,2,0,0,0,206,190.8,163.0,38.0,39.2
81,40387,3,Gosling,40387,50,47,54,1734,2,2,4,33,0,0,0,8,0,0,0,237,400.6,164.7,217.0,78.1
82,152551,3,Lerma,152551,45,45,75,2505,2,2,9,49,1,0,0,12,0,0,6,410,539.6,245.8,174.0,96.2
476,168991,3,Billing,168991,45,45,63,2187,2,0,5,43,0,0,0,7,0,0,4,317,494.6,341.0,375.0,121.3
37,61933,4,Duffy,61933,45,47,115,3087,5,2,7,55,0,0,0,4,1,0,9,582,1024.4,84.1,499.0,160.9
38,86153,4,Montoya,86153,45,43,45,2166,0,1,3,41,0,0,0,4,0,0,1,351,437.6,289.2,58.0,78.6
39,209362,4,Bernardo,209362,45,42,39,1749,0,1,2,29,0,0,0,4,0,0,0,290,444.2,172.6,83.0,70.0
40,52484,4,Balogun,52484,45,42,15,591,1,0,0,10,0,0,0,2,0,0,0,86,134.0,1.1,27.0,16.2
41,42748,4,Bong,42748,45,44,48,1805,0,0,5,34,0,0,0,0,0,0,0,254,220.0,153.3,8.0,38.0
42,83299,4,Dunk,83299,45,44,91,3151,2,1,7,56,0,0,0,5,1,0,6,573,805.8,132.9,245.0,118.7
44,20529,4,Murray,20529,65,61,129,2501,13,1,4,45,0,0,0,5,0,0,16,337,478.0,190.0,835.0,148.1
45,106757,4,Locadia,106757,55,53,52,1225,2,0,3,21,0,0,0,1,0,0,6,155,154.4,190.8,356.0,69.7
46,93284,4,Andone,93284,50,50,38,866,3,0,2,14,0,0,0,5,0,0,2,74,147.2,48.6,361.0,54.9
47,131897,4,Ryan,131897,45,44,104,3060,0,0,6,55,0,0,0,2,0,97,11,547,707.0,0.0,0.0,70.9
48,50093,4,Button,50093,40,40,15,360,0,0,1,5,0,0,0,0,0,14,2,76,89.2,0.0,0.0,8.9
49,60307,4,Groß,60307,70,67,80,1864,3,3,3,31,0,0,1,1,0,0,12,347,456.0,815.3,344.0,161.7
50,165210,4,Jahanbakhsh,165210,70,67,33,1014,0,0,5,16,0,0,0,2,0,0,0,61,94.4,104.0,162.0,35.5
